month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202007,47978,"rensselaer, in",*,162550,0.1137,,21,-0.2759,,179,0.0719,,8,0,-0.3333,0,,,4,0,0,11,0.5714,1.2,95.54901457,0.0682,0.0662,1977.5,0.0172,0.1806,259030,0.0561,0.4025,32,-0.1111,-0.5294,0.5238,0.2824,0.4444
202007,10805,"new rochelle, ny",*,340050,0.0759,,84,0.0244,,105.5,0.3613,,16,-0.2,0.3333,0,,,8,,0,16,-0.0588,15,240.7141504,0.011,-0.1463,1120,-0.0667,-0.1566,830799,-0.0171,-0.039,100,0.0101,0.9231,0.1905,-0.0168,0.1709
202007,55358,"maple lake, mn",*,265000,0,,13,0.0833,-0.4348,22,-0.5686,-0.5963,16,3,3,0,,,0,,-1,11,0.2222,-0.3529,187.0671835,0.0386,0.0048,1543.5,-0.0802,-0.2671,339089,-0.0858,-0.1959,24,0.1429,-0.4,0.8462,0.0962,0.107
202007,29212,"columbia, sc",*,234800,0.0251,,45,-0.0625,,30,-0.4783,,32,0.3333,-0.4667,0,-1,-1,8,-0.5,-0.7778,0,,,102.1312743,-0.0059,0.0293,2392,0.0211,-0.0237,326712,0.0102,0.1385,45,-0.0625,-0.6875,0,0,0
202007,3908,"south berwick, me",,440800,0.066,0.1258,18,0.5,-0.3571,17,-0.2273,-0.6222,20,0.25,0.25,0,,,0,-1,-1,13,0,0.4444,236.9585717,0.0024,0.5671,2100,0.2209,-0.0749,494796,0.1543,0.2623,31,0.24,-0.1622,0.7222,-0.3611,0.4008
202007,37811,"mooresburg, tn",,387500,-0.0606,-0.0527,17,0.1333,-0.5,52.5,0.4,-0.1393,8,,1,0,,,0,,-1,5,-0.1667,0,157.4074074,0.1514,-0.0249,2160,-0.0526,-0.1692,386963,0.0445,-0.0492,22,0.0476,-0.4359,0.2941,-0.1059,0.1471
202007,13676,"potsdam, ny",*,180550,0.0715,-0.0269,44,-0.0833,,81,-0.3415,-0.202,16,0,1,0,,,16,0.3333,0.3333,32,0.4545,,87.0659457,-0.0046,0.017,2000,0.0267,-0.023,173378,0.0379,-0.0473,76,0.0857,0.4615,0.7273,0.2689,0.7273
202007,36091,"verbena, al",*,312550,-0.1071,0.276,21,0.2353,,50.5,-0.5844,-0.2986,8,0,,0,,,0,,-1,7,0.1667,2.5,146.1968383,-0.036,0.1869,2400,-0.1036,0.1911,358662,-0.1028,0.1288,28,0.2174,-0.0345,0.3333,-0.0196,0.2593
202007,33446,"delray beach, fl",,224500,-0.002,-0.3908,474,-0.0146,-0.0501,76.5,-0.2154,-0.15,148,0.0278,0.0882,12,2,2,140,0.129,0.2963,211,0.2788,-0.0231,152.7383592,-0.0005,-0.0462,1501.5,0.0159,-0.2284,506376,0.0157,-0.1874,685,0.0604,-0.042,0.4451,0.1021,0.0123
202007,44102,"cleveland, oh",,234050,0.0218,-0.1067,80,-0.0244,-0.4161,56.5,-0.2467,-0.2756,24,0,-0.4,0,,,16,-0.3333,-0.3333,68,0.0794,-0.0933,130.6138631,0.0971,-0.039,1637,0.0086,-0.0359,341544,0.0609,0.1811,148,0.0207,-0.3019,0.85,0.0817,0.3026
202007,98273,"mount vernon, wa",,432050,0.031,0.1148,36,0.0909,-0.2653,33.5,-0.1625,0.0635,48,0.7143,0.0909,0,,,8,-0.3333,-0.7143,51,-0.0893,0.5938,241.0566028,0.0321,0.1751,1835,-0.0229,-0.0507,549689,-0.0377,0.0785,87,-0.0225,0.0741,1.4167,-0.2803,0.7636
202007,6088,"east windsor, ct",,282450,0.0089,0.028,28,-0.1515,-0.4043,119.5,0.201,1.1727,4,-0.5,-0.75,0,,,0,,-1,0,,-1,178.4487801,0.0581,0.0464,1572.5,0.0145,0.001,260187,-0.0004,0.1103,28,-0.1515,-0.4167,0,0,-0.0213
202007,97006,"beaverton, or",*,382050,0.0891,,36,-0.2941,,38.5,-0.0941,,36,0,-0.25,16,-0.2,,32,-0.3333,-0.3333,74,0.0278,23.6667,229.9775802,0.0078,0.0167,1670,0.0408,0,400175,0.0121,-0.0796,110,-0.1057,0.2941,2.0556,0.6438,2.019
202007,85043,"phoenix, az",*,266950,0.0036,0.1121,26,-0.4222,,33.5,-0.2472,-0.3619,52,1.1667,1.1667,16,,3,4,-0.5,-0.5,152,0.1603,1.3385,149.7643323,0.0047,0.1032,1766,0.0208,0.0642,276342,0.06,0.1732,178,0.0114,0.5345,5.8462,2.935,4.5716
202007,20901,"silver spring, md",*,477050,-0.0544,,13,-0.2353,,12.5,-0.375,,20,-0.1667,-0.4444,0,,,4,0,-0.8,11,-0.0833,0,260.5997019,-0.0607,0.0272,1795.5,-0.0414,-0.038,472283,-0.1155,-0.0208,24,-0.1724,-0.6066,0.8462,0.1403,0.6262
202007,52247,"kalona, ia",,279950,-0.0363,0.1785,17,0.7,0.7,24.5,-0.5882,0.0208,4,-0.5,,0,,,4,,,2,-0.5,0,131.9828115,-0.0228,0.3081,2170,-0.0491,0.0519,271194,-0.0893,0.1554,19,0.3571,0.5833,0.1176,-0.2824,-0.0824
